条件                            全量      中证2000      中证1000   沪深300上证50       基金ETF          指数
P(>1%): 银+柱排=升                     93.5%       95.5%       95.5%       93.9%       80.1%       86.7%
P(>1%): 银+龙猪                       91.6%       93.4%       93.5%       92.1%       82.0%       83.6%
P(>1%): 银+龙猪/管+WXAB=甲              90.7%       92.7%       92.5%       90.8%       82.5%       82.5%
P(>1%): WXAB=己(不限)                 93.2%       95.0%       94.8%       93.4%       83.3%       86.6%
P(>1%): WXAB=甲(不限)                 88.3%       91.2%       91.0%       88.6%       76.9%       76.8%
P(>1%): WXAB=乙(不限)                 83.2%       86.9%       86.8%       84.4%       67.5%       70.8%
P(>1%): 龙猪/管+柱排=升                  92.9%       95.5%       95.4%       93.9%       82.2%       84.0%
P(>1%): 龙猪/管+盈提示有                  94.4%       95.4%       96.3%       97.1%       88.9%       86.4%

P(>3%): 全量基准                       50.6%       56.0%       55.3%       50.5%       29.0%       28.6%
P(>3%): 金+多长                       63.4%       71.1%       70.9%       65.0%       36.2%       36.3%
P(>3%): 金+多长+升排                    73.7%       82.6%       82.6%       77.2%       43.1%       43.8%
P(>3%): 金+多长+升排+非孕                 81.6%       91.4%       91.4%       86.6%       48.5%       50.0%
P(>3%): 金+多长+升排+非孕+盈高             100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>3%): 最优(全部)                    100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>3%): 银(全量)                      66.2%       72.5%       71.2%       64.7%       44.2%       39.4%
P(>3%): 银+WXAB=己                   80.2%       86.4%       86.8%       85.3%       57.8%       52.9%
P(>3%): 银+WXAB=甲                   69.8%       76.0%       74.8%       68.4%       49.9%       45.1%
P(>3%): 银+盈提示有                     83.3%       86.9%       88.0%       85.2%       63.8%       59.6%
P(>3%): 银+柱排=升                     75.8%       82.0%       81.8%       75.8%       49.9%       48.7%
P(>3%): 银+龙猪                       74.4%       80.2%       79.6%       73.5%       54.5%       48.7%
P(>3%): 银+龙猪/管+WXAB=甲              72.1%       78.1%       76.9%       71.1%       54.2%       47.9%
P(>3%): WXAB=己(不限)                 72.8%       78.4%       78.0%       73.3%       48.6%       45.4%
P(>3%): WXAB=甲(不限)                 65.8%       72.8%       72.0%       66.1%       41.1%       37.3%
P(>3%): WXAB=乙(不限)                 58.3%       65.5%       65.4%       59.7%       31.0%       33.3%
P(>3%): 龙猪/管+柱排=升                  74.4%       81.8%       81.3%       76.1%       48.3%       47.2%
P(>3%): 龙猪/管+盈提示有                  83.2%       87.9%       89.0%       87.3%       60.4%       55.9%

P(>5%): 全量基准                       32.8%       37.9%       37.2%       32.3%       13.4%       11.8%
P(>5%): 金+多长                       45.3%       53.8%       53.1%       45.9%       17.6%       16.0%
P(>5%): 金+多长+升排                    55.4%       66.2%       65.8%       57.6%       21.3%       19.7%
P(>5%): 金+多长+升排+非孕                 63.7%       76.4%       76.2%       67.5%       24.3%       23.1%
P(>5%): 金+多长+升排+非孕+盈高             100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>5%): 最优(全部)                    100.0%      100.0%      100.0%      100.0%      100.0%      100.0%
P(>5%): 银(全量)                      48.1%       55.1%       53.3%       45.2%       25.8%       18.7%
P(>5%): 银+WXAB=己                   62.8%       71.3%       72.2%       64.4%       37.0%       25.2%
P(>5%): 银+WXAB=甲                   51.8%       59.1%       57.1%       49.2%       30.5%       23.1%
P(>5%): 银+盈提示有                     69.0%       74.2%       74.7%       68.9%       45.5%       35.6%
P(>5%): 银+柱排=升                     57.8%       65.7%       64.6%       55.9%       30.5%       24.2%
P(>5%): 银+龙猪                       57.6%       65.4%       63.7%       55.3%       34.0%       25.3%
P(>5%): 银+龙猪/管+WXAB=甲              55.1%       62.7%       60.6%       52.7%       33.7%       24.8%
P(>5%): WXAB=己(不限)                 52.8%       59.7%       58.7%       52.0%       24.4%       18.6%
P(>5%): WXAB=甲(不限)                 47.3%       55.1%       53.8%       46.6%       21.7%       16.6%
P(>5%): WXAB=乙(不限)                 40.0%       47.4%       47.0%       40.4%       13.8%       14.5%
P(>5%): 龙猪/管+柱排=升                  56.2%       65.5%       64.5%       56.9%       25.8%       22.4%
P(>5%): 龙猪/管+盈提示有                  69.8%       77.2%       77.7%       72.7%       38.3%       31.2%
