CIDL,代称,日冲策分,仓周类,月基带周,月基带日,月基策略,行业益盟,是宽基指数
sh000095,上证中游,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000096,上证下游,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000097,高端装备,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000098,上证F200,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000099,上证F300,5.3,嘘z,(嘘)▽(忑),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000100,上证F500,33,尿r,(尿)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000101,5年信用,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000102,沪投资品,1.3,尿z,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000103,沪消费品,68.5,屎a,(屎)↗(上),(屎)↗(上)▲(上),NA(空看),上证指数,
sh000104,380能源,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000105,380材料,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000106,380工业,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000107,380可选,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000108,380消费,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),上证指数,
sh000109,380医药,13.2,屎r,(屎)↗(忐),(屎)↗(上)↘(忑),NA(空看),上证指数,
sh000110,380金融,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000111,380信息,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000112,380电信,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000113,380公用,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000114,持续产业,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),上证指数,
sh000115,380等权,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000116,信用100,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000117,380成长,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000118,380价值,74.2,嘘y,(嘘)▽(忠),(嘘)↗(忐)▲(上),NA(空看),上证指数,
sh000119,380R成长,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000120,380R价值,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000121,医药主题,13.2,屎a,(屎)↗(上),(屎)↗(上)↘(忑),NA(空看),上证指数,
sh000122,农业主题,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000123,180动态,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000125,180稳定,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000126,消费50,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),上证指数,
sh000128,380基本,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000129,180波动,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),上证指数,
sh000130,380波动,49.1,尿r,(尿)↗(忐),(尿)↗(忐)▲(上),NA(空看),上证指数,
sh000131,上证高新,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000132,上证100,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000133,上证150,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000134,上证银行,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),上证指数,
sh000135,180高贝,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000136,180低贝,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),上证指数,
sh000137,380高贝,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000138,380低贝,33,尿y,(尿)▽(忠),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000139,上证转债,13.7,嘘y,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),上证指数,
sh000141,380动态,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000142,380稳定,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000145,优势资源,13.7,嘘y,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),上证指数,
sh000146,优势制造,2.2,尿z,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000147,优势消费,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000148,消费领先,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000149,180红利,82.4,金r,(金)▲(忐),(金)▲(上)▲(上),多长(不定),上证指数,
sh000150,380红利,86,屎r,(屎)↗(忐),(银)▲(忐)▲(上),NA(空看),上证指数,
sh000151,上国红利,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),上证指数,
sh000152,上央红利,86,银r,(银)▲(忐),(银)▲(忐)▲(上),多被(银),上证指数,
sh000153,上民红利,1.9,尿z,(尿)▽(忑),(屎)○(忠)↗(上),NA(空看),上证指数,
sh000155,市值百强,0.1,嘘y,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000158,上证环保,1.3,尿z,(尿)▽(忑),(屎)▽(忑)↗(忐),NA(空看),上证指数,
sh000159,沪股通,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000160,沪新丝路,2.2,嘘y,(嘘)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000161,沪中国造,0.5,尿y,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000162,沪互联+,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),上证指数,
sh000170,50AH优选,0.1,嘘y,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000300,沪深300,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000510,中证A500,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000680,科创综指,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000681,科创价格,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000682,科创信息,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000683,科创生物,0.1,屎y,(屎)▽(忑),(屎)▽(忑)▽(忑),NA(空长),上证指数,
sh000687,科创高装,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000688,科创50,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,是
sh000689,科创材料,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000690,科创成长,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000691,科创ESG,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000692,科创新能,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000693,科创机械,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000695,科长三角,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),上证指数,
sh000697,科大湾区,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000698,科创100,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000699,科创200,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000802,500沪市,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000819,有色金属,1.3,尿y,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000823,800有色,1.3,尿y,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000827,中证环保,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000847,腾讯济安,5.3,尿z,(尿)▽(忑),(尿)○(忠)↗(上),NA(空看),上证指数,
sh000849,300非银,68.5,屎a,(屎)↗(上),(屎)↗(上)▲(上),NA(空看),上证指数,
sh000851,百发100,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000852,中证1000,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000853,CSSW丝路,1.3,尿y,(尿)▽(忠),(尿)▽(忑)↗(上),NA(空看),上证指数,
sh000854,500原料,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000855,央视500,13.7,嘘z,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),上证指数,
sh000856,500工业,0.5,尿y,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000857,500医药,30.3,唏a,(唏)↗(上),(唏)↗(上)↘(忑),多被(唏),上证指数,
sh000858,500信息,1.5,嘘c,(嘘)▽(下),(嘘)↘(下)▽(忑),NA(空看),上证指数,
sh000860,结构调整,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000865,上海国企,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000867,港中小企,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000869,HK银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证指数,
sh000888,上证收益,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000891,新兴综指,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000901,小康指数,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000903,中证A100,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证指数,
sh000905,中证500,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000906,中证800,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证指数,
sh000913,300医药,80.9,唏a,(唏)↗(上),(银)▲(上)▲(上),多被(唏),上证指数,
sh000914,300金融,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),上证指数,
sh000928,中证能源,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(消极),上证指数,
sh000932,中证消费,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证指数,
sh000933,中证医药,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),上证指数,
sh000934,中证金融,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),上证指数,
sh000935,中证信息,1.5,嘘c,(嘘)▽(下),(嘘)↘(下)▽(忑),NA(空看),上证指数,
sh000974,800金融,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),上证指数,
sh000982,500等权,0.5,嘘y,(嘘)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证指数,
sh000986,全指能源,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),上证指数,
sh000987,全指材料,2.2,尿y,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),上证指数,
sh000989,全指可选,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),上证指数,
sh000991,全指医药,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),上证指数,
sh000992,全指金融,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证指数,
sh000993,全指信息,1.5,嘘c,(嘘)▽(下),(嘘)↘(下)▽(忑),NA(空看),上证指数,
sh510010,180治理ETF交银,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证ETF,
sh510020,超大盘ETF博时,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),上证ETF,
sh510030,价值ETF华宝,80.9,金a,(金)▲(上),(银)▲(上)▲(上),多长(积极),上证ETF,
sh510040,上证180ETF鹏华,3,嘘z,(嘘)▽(忑),(嘘)↘(忑)○(忠),NA(空看),上证ETF,
sh510050,上证50ETF华夏,19.8,金a,(金)▲(上),(嘘)○(中)↘(忑),多长(消极),上证ETF,
sh510060,央企ETF工银,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证ETF,
sh510090,责任ETF建信,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证ETF,
sh510100,上证50ETF易方达,28.6,金a,(金)▲(上),(金)▲(上)↘(忑),多长(消极),上证ETF,
sh510130,上证中盘ETF易方达,3,嘘z,(嘘)▽(忑),(嘘)↘(忑)○(忠),NA(空看),上证ETF,
sh510150,消费ETF招商,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证ETF,
sh510160,产业升级ETF南方,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(消极),上证ETF,
sh510170,大宗商品ETF国联安,14.4,嘘y,(嘘)▽(忑),(嘘)↘(忑)↗(上),NA(空看),上证ETF,
sh510180,上证180ETF华安,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510190,上证50ETF华安,2,金a,(金)▲(上),(金)↘(下)▽(忑),多长(消极),上证ETF,
sh510200,上证券商ETF汇安,10.8,唏a,(唏)↗(上),(银)○(中)↘(忑),多被(唏),上证ETF,
sh510210,上证指数ETF富国,0.5,嘘z,(嘘)▽(忑),(尿)▽(忑)○(忠),NA(空看),上证ETF,
sh510230,金融ETF国泰,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),上证ETF,
sh510270,国企ETF中银,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),上证ETF,
sh510290,上证380ETF南方,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510300,沪深300ETF华泰柏瑞,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510310,沪深300ETF易方达,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510320,沪深300ETF中金,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510330,沪深300ETF华夏,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510350,沪深300ETF工银,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510360,沪深300ETF广发,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510370,沪深300ETF兴业,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510380,沪深300ETF国寿,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510390,沪深300ETF平安,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),上证ETF,
sh510410,资源ETF博时,14.4,嘘y,(嘘)▽(忑),(嘘)↘(忑)↗(上),NA(空看),上证ETF,
sh510500,中证500ETF南方,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510510,中证500ETF广发,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510530,中证500ETF工银,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510550,中证500ETF方正富邦,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510560,中证500ETF国寿,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510570,中证500ETF兴业,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510580,中证500ETF易方达,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510590,中证500ETF平安,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510600,上证50ETF申万菱信,1.5,金a,(金)▲(上),(嘘)↘(下)▽(忑),多长(消极),上证ETF,
sh510630,消费ETF华夏,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),上证ETF,
sh510650,金融地产ETF华夏,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),上证ETF,
sh510660,医药ETF华夏,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),上证ETF,
sh510670,上证180ETF华夏,0.4,屎z,(屎)▽(忑),(屎)▽(忑)○(忠),NA(空长),上证ETF,
sh510680,上证50ETF万家,10.8,金b,(金)▲(上),(金)○(中)↘(忑),多长(消极),上证ETF,
sh510710,上证50ETF博时,10.8,金b,(金)▲(上),(金)○(中)↘(忑),多长(消极),上证ETF,
sh510720,红利国企ETF国泰,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),上证ETF,
sh510760,上证指数ETF国泰,13.7,嘘z,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),上证ETF,
sh510770,G60创新ETF申万菱信,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),上证ETF,
sh510800,上证50ETF建信,2,金a,(金)▲(上),(金)↘(下)▽(忑),多长(消极),上证ETF,
sh510810,上海国企ETF汇添富,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),上证ETF,
sh510850,上证50ETF工银,10.8,金a,(金)▲(上),(金)○(中)↘(忑),多长(消极),上证ETF,
sh510880,红利ETF华泰柏瑞,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),上证ETF,
