名称	编码
等2_3桮_跌排_{金_甲乙己}	4C77
等7_7姗_升排_{尿_丙丁戊}	4C77
等3_2栅_跌排_{金_甲乙己}	4C77
等2_0橅_升排_{银_甲乙己}	6C77
等1_0橅_升排_{尿_丙丁戊}	4C77
等1_2栅_跌排_{银_甲乙己}	4C77
等7_8姖_人排_{嘘_丙丁戊}	4C77
等3_1柜_人排_{唏_甲乙己}	4C77
等2_1柜_升排_{屎_甲乙己}	3C77
等7_9妩_跌排_{嘘_丙丁戊}	4C77
等6_6娝_升排_{尿_丙丁戊}	4C77
等5_9妩_跌排_{金_丙丁戊}	4C77
等1_1柜_升排_{金_甲乙己}	4C76
等1_2栅_跌排_{屎_甲乙己}	4C76
等7_7姗_升排_{嘘_丙丁戊}	4C76
等5_6娝_跌排_{金_甲乙己}	4C76
等5_6娝_跌排_{金_丙丁戊}	3C76
等5_7姗_升排_{金_甲乙己}	4C76
等2_1柜_跌排_{金_甲乙己}	4C76
等1_1柜_人排_{金_甲乙己}	4C76
等3_1柜_升排_{唏_甲乙己}	4C76
等3_2栅_跌排_{屎_丙丁戊}	4C76
等2_1柜_升排_{银_甲乙己}	4C76
等6_8姖_跌排_{金_丙丁戊}	3C76
等2_2栅_跌排_{唏_甲乙己}	3C76
等1_2栅_跌排_{屎_丙丁戊}	4C76
等7_8姖_跌排_{金_甲乙己}	4C76
等2_1柜_升排_{唏_甲乙己}	4C76
等7_8姖_跌排_{嘘_丙丁戊}	3C76
等2_2栅_跌排_{银_甲乙己}	4C76
等3_0橅_人排_{金_甲乙己}	5C75
等6_7姗_升排_{尿_丙丁戊}	4C75
等5_8姖_跌排_{金_甲乙己}	3C75
等7_9妩_跌排_{金_甲乙己}	4C75
等6_8姖_跌排_{尿_丙丁戊}	4C75
等3_3桮_跌排_{金_甲乙己}	4C75
等7_6娝_跌排_{嘘_丙丁戊}	3C75
等7_8姖_跌排_{金_丙丁戊}	4C75
等7_9妩_跌排_{尿_丙丁戊}	4C75
等7_8姖_人排_{尿_丙丁戊}	4C75
等7_9妩_跌排_{金_丙丁戊}	4C75
等7_7姗_升排_{金_丙丁戊}	4C75
等6_8姖_跌排_{嘘_丙丁戊}	3C75
等3_1柜_升排_{屎_甲乙己}	3C75
等6_8姖_跌排_{金_甲乙己}	4C75
等1_0橅_升排_{金_甲乙己}	4C75
等7_8姖_跌排_{尿_丙丁戊}	4C75
等5_6娝_升排_{金_甲乙己}	4C75
等3_2栅_跌排_{唏_甲乙己}	3C75
等2_2栅_跌排_{屎_丙丁戊}	3C75
等2_3桮_升排_{金_甲乙己}	4C75
等7_8姖_人排_{金_丙丁戊}	4C75
等3_2栅_跌排_{屎_甲乙己}	3C74
等7_7姗_升排_{屎_丙丁戊}	3C74
等6_7姗_跌排_{嘘_丙丁戊}	4C74
等6_8姖_升排_{屎_丙丁戊}	3C74
等3_1柜_跌排_{金_甲乙己}	4C74
等2_2栅_升排_{屎_甲乙己}	4C74
等1_1柜_升排_{银_甲乙己}	4C74
等1_1柜_人排_{屎_丙丁戊}	3C74
等7_7姗_跌排_{嘘_丙丁戊}	4C74
等2_0橅_升排_{屎_甲乙己}	4C74
等5_7姗_跌排_{金_甲乙己}	4C74
等5_9妩_跌排_{金_甲乙己}	4C74
等2_2栅_跌排_{屎_甲乙己}	3C74
等6_7姗_升排_{金_甲乙己}	4C74
等1_1柜_升排_{屎_丙丁戊}	3C74
等7_7姗_跌排_{金_丙丁戊}	3C74
等6_9妩_跌排_{金_丙丁戊}	3C74
等5_6娝_升排_{金_丙丁戊}	4C74
等1_3桮_升排_{屎_丙丁戊}	4C74
等6_6娝_跌排_{屎_丙丁戊}	3C74
等5_8姖_人排_{金_甲乙己}	3C74
等1_0橅_升排_{屎_丙丁戊}	4C74
等6_7姗_升排_{嘘_丙丁戊}	3C74
等6_9妩_跌排_{嘘_丙丁戊}	3C73
等5_7姗_跌排_{唏_甲乙己}	3C73
等2_0橅_升排_{唏_甲乙己}	4C73
等7_7姗_跌排_{尿_丙丁戊}	4C73
等5_7姗_跌排_{金_丙丁戊}	3C73
等6_7姗_升排_{金_丙丁戊}	3C73
等1_3桮_跌排_{屎_丙丁戊}	4C73
等2_1柜_升排_{屎_丙丁戊}	3C73
等6_7姗_升排_{屎_丙丁戊}	3C73
等6_6娝_升排_{屎_丙丁戊}	3C73
等6_9妩_跌排_{金_甲乙己}	3C73
等7_6娝_升排_{嘘_丙丁戊}	4C72
等7_6娝_跌排_{尿_丙丁戊}	3C72
等5_8姖_跌排_{嘘_丙丁戊}	3C72
等5_8姖_跌排_{金_丙丁戊}	3C71
等2_0橅_升排_{屎_丙丁戊}	3C71
等6_7姗_人排_{屎_丙丁戊}	3C71
等5_7姗_跌排_{银_甲乙己}	3C71
等5_9妩_跌排_{屎_丙丁戊}	3C71
等7_8姖_升排_{屎_丙丁戊}	3C71
等7_9妩_跌排_{屎_丙丁戊}	3C71
等5_7姗_跌排_{屎_甲乙己}	3C71
等5_6娝_跌排_{屎_丙丁戊}	3C71
等6_7姗_跌排_{金_丙丁戊}	3C71
等6_9妩_跌排_{尿_丙丁戊}	3C71
等1_0橅_升排_{屎_甲乙己}	3C71
等7_7姗_跌排_{金_甲乙己}	3C71
等6_8姖_人排_{尿_丙丁戊}	3C71
等7_6娝_升排_{金_丙丁戊}	3C70
等7_8姖_人排_{屎_丙丁戊}	3C70
等5_7姗_升排_{金_丙丁戊}	3C70
等6_8姖_跌排_{屎_丙丁戊}	3C70
等5_8姖_人排_{屎_丙丁戊}	2C70
等3_1柜_人排_{屎_甲乙己}	3C70
等5_8姖_跌排_{银_甲乙己}	3C70
等7_7姗_人排_{屎_丙丁戊}	3C70
等5_8姖_跌排_{屎_丙丁戊}	3C70
等7_7姗_跌排_{屎_丙丁戊}	3D69
等7_6娝_跌排_{屎_丙丁戊}	3D69
等7_8姖_跌排_{屎_丙丁戊}	3D69
等6_7姗_跌排_{屎_丙丁戊}	3D69
等6_9妩_跌排_{屎_丙丁戊}	3D69
等7_9妩_跌排_{唏_丙丁戊}	3D69
等7_9妩_人排_{屎_丙丁戊}	3D68
等5_8姖_跌排_{尿_丙丁戊}	3D68
等5_7姗_跌排_{屎_丙丁戊}	2D68
等6_7姗_跌排_{尿_丙丁戊}	3D68
等1_0橅_人排_{金_甲乙己}	6D67
等5_6娝_升排_{嘘_丙丁戊}	3D67
等5_7姗_升排_{屎_丙丁戊}	3D67
等5_6娝_升排_{屎_丙丁戊}	3D67
等5_7姗_跌排_{嘘_丙丁戊}	3D67
等5_7姗_升排_{尿_丙丁戊}	3D66
等6_8姖_人排_{屎_丙丁戊}	3D66
等5_7姗_跌排_{尿_丙丁戊}	2D64
等5_7姗_人排_{屎_丙丁戊}	2D63
等5_7姗_升排_{嘘_丙丁戊}	2D63
等5_6娝_升排_{尿_丙丁戊}	3D63
等7_6娝_升排_{屎_丙丁戊}	2D60
等7_6娝_升排_{尿_丙丁戊}	3E56
