DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=y戊↘忑-20.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-21.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-22.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-23.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忠-24.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-25.B2 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=z丁↘忑-1.Y | 护型=丁 | 日ZA=-1
DXAB=z丁↘忑-2.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-3.Z-3 | 护型=丁 | 日ZA=-3
DXAB=r己↗忐-4.I暂 | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上5.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上6.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上7.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上8.A9 | 护型=甲 | 日ZA=9
DXAB=b乙→中9.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中10.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中11.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙↗上12.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上13.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上14.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上15.A4 | 护型=乙 | 日ZA=4
DXAB=b乙→中16.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中17.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上18.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上19.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙→中20.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙↗上21.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中22.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中23.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下24.Z-3暂 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下25.Z-4 | 护型=丙 | 日ZA=-4
DXAB=z丁↘忑-1.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-2.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-3.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-4.Z-8 | 护型=丁 | 日ZA=-8
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-6.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-7.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上6.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上7.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上8.A11 | 护型=甲 | 日ZA=11
DXAB=b乙→中9.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下10.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下11.Z-3 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下12.Z-4 | 护型=丙 | 日ZA=-4
DXAB=z丁↘忑-1.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-2.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-3.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-4.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-5.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-6.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-7.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-8.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-9.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-10.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-11.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-12.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-13.Z-17 | 护型=丁 | 日ZA=-17
DXAB=z丁↘忑-14.Z-18 | 护型=丁 | 日ZA=-18
DXAB=z丁↘忑-15.Z-19 | 护型=丁 | 日ZA=-19
DXAB=z丁↘忑-16.Z-20 | 护型=丁 | 日ZA=-20
DXAB=r己↗忐-17.I | 护型=己 | 日ZA=1
DXAB=r己↗忐-18.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-19.B3 | 护型=己 | 日ZA=3
DXAB=r己↗忐-20.A4 | 护型=己 | 日ZA=4
DXAB=a甲↗上1.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上2.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上3.A7 | 护型=甲 | 日ZA=7
DXAB=c丙↘下4.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=y戊↘忠-3.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-4.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中7.Z-2 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下8.Z-3 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下9.Z-4 | 护型=丙 | 日ZA=-4
DXAB=z丁↘忑-1.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-2.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-3.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-4.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-5.Z-9 | 护型=丁 | 日ZA=-9
DXAB=r己↗忐-6.I | 护型=己 | 日ZA=1
DXAB=r己↗忐-7.B2 | 护型=己 | 日ZA=2
DXAB=y戊↘忑-8.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-9.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-10.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-11.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-12.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-13.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-14.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忠-15.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-16.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-17.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-18.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-19.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-20.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-21.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-22.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-23.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-24.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-25.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-26.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-27.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-28.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-29.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-30.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-31.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忑-32.Z-17 | 护型=戊 | 日ZA=-17
DXAB=y戊↘忑-33.Z-18 | 护型=戊 | 日ZA=-18
DXAB=y戊↘忑-34.Z-19 | 护型=戊 | 日ZA=-19
DXAB=y戊↘忑-35.Z-20 | 护型=戊 | 日ZA=-20
DXAB=y戊↘忑-36.Z-21 | 护型=戊 | 日ZA=-21
DXAB=y戊↘忑-37.Z-22 | 护型=戊 | 日ZA=-22
DXAB=y戊↘忑-38.Z-23 | 护型=戊 | 日ZA=-23
DXAB=y戊↘忑-39.Z-24 | 护型=戊 | 日ZA=-24
DXAB=y戊↘忑-40.Z-25 | 护型=戊 | 日ZA=-25
DXAB=y戊↘忠-41.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-42.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-43.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-44.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忠-45.A5 | 护型=戊 | 日ZA=5
DXAB=y戊↘忠-46.A6 | 护型=戊 | 日ZA=6
DXAB=y戊↘忑-47.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-48.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-49.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-50.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-51.Z-5 | 护型=戊 | 日ZA=-5
DXAB=r己↗忐-52.I | 护型=己 | 日ZA=1
DXAB=r己↗忐-53.B2 | 护型=己 | 日ZA=2
DXAB=y戊↘忑-54.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-55.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-56.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-57.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-58.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-59.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-60.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-61.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-62.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-63.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-64.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-65.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-66.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-67.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-68.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-69.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忑-70.Z-17 | 护型=戊 | 日ZA=-17
DXAB=y戊↘忑-71.Z-18 | 护型=戊 | 日ZA=-18
DXAB=y戊↘忑-72.Z-19 | 护型=戊 | 日ZA=-19
DXAB=y戊↘忑-73.Z-20 | 护型=戊 | 日ZA=-20
DXAB=y戊↘忑-74.Z-21 | 护型=戊 | 日ZA=-21
DXAB=y戊↘忠-75.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-76.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-77.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-78.B2暂 | 护型=己 | 日ZA=2
DXAB=r己↗忐-79.B3暂 | 护型=己 | 日ZA=3
DXAB=r己↗忐-80.A4 | 护型=己 | 日ZA=4
DXAB=a甲↗上1.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上2.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上3.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上4.A8 | 护型=甲 | 日ZA=8
DXAB=c丙↘下5.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上5.A5 | 护型=甲 | 日ZA=5
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中7.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中8.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙→中9.Z-4 | 护型=乙 | 日ZA=-4
DXAB=b乙↗上10.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上11.B2 | 护型=乙 | 日ZA=2
DXAB=b乙↗上12.B3 | 护型=乙 | 日ZA=3
DXAB=b乙↗上13.A4 | 护型=乙 | 日ZA=4
DXAB=b乙→中14.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中15.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上16.I暂 | 护型=乙 | 日ZA=1
DXAB=c丙↘下17.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下6.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-5.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-6.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-7.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-8.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-9.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-10.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-11.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-12.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-13.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-14.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-15.Z-17 | 护型=丁 | 日ZA=-17
DXAB=y戊↘忠-16.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-17.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-18.B3 | 护型=己 | 日ZA=3
DXAB=r己↗忐-19.A4 | 护型=己 | 日ZA=4
DXAB=y戊↘忑-20.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-21.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-22.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-23.Z-4 | 护型=戊 | 日ZA=-4
