========================================================================================================================
四维组合（地型×等型×柱排×顶型）对甲/乙(ZA>0)的环境分类与风险机会
========================================================================================================================

| 地型 | 等型 | 柱排 | 顶型 | 样本 | 甲% | 乙% | 下周HR≥3% | 下周PR>0 | 下周均PR | 维持率 | 环境语义 |
| 0橅 | 等2 | 升 | 未触.未合 | 6,822 | 47% | 53% | 58.9% | 48.5% | +0.37% | 79.9% | 回归WJA后升排 🟡中性 |
| 1柜 | 等2 | 升 | 触顶.合顶 | 6,582 | 62% | 38% | 67.5% | 46.2% | +0.42% | 93.6% | 回归WJA后升排触顶 🟢机会 |
| 2栅 | 等2 | 升 | 触顶.合顶 | 6,334 | 56% | 44% | 68.3% | 45.5% | +0.34% | 94.2% | 回归WJA后升排触顶 🟢强机会 |
| 1柜 | 等1 | 升 | 未触.未合 | 5,568 | 18% | 82% | 57.1% | 46.5% | +0.08% | 75.0% | 回归WJA后升排 🟠风险 |
| 3桮 | 等2 | 跌 | 未触.合顶 | 5,525 | 69% | 31% | 57.0% | 47.0% | +0.24% | 45.7% | 回归WJA跌排 🟠风险 |
| 0橅 | 等2 | 升 | 未触.合顶 | 5,332 | 69% | 31% | 62.3% | 47.8% | +0.49% | 77.6% | 回归WJA后升排 🟡中性 |
| 3桮 | 等3 | 跌 | 未触.合顶 | 4,704 | 69% | 31% | 57.3% | 45.7% | +0.22% | 62.3% | 远离WJA跌排 🟠风险 |
| 3桮 | 等1 | 升 | 未触.未合 | 4,435 | 18% | 82% | 58.9% | 44.9% | -0.08% | 75.3% | 回归WJA后升排 🟡中性 |
| 2栅 | 等1 | 升 | 未触.合顶 | 4,187 | 11% | 89% | 58.2% | 46.9% | +0.18% | 73.9% | 回归WJA后升排 🟡中性 |
| 2栅 | 等2 | 升 | 未触.未合 | 3,643 | 35% | 65% | 60.6% | 45.6% | +0.26% | 79.1% | 回归WJA后升排 🟡中性 |
| 1柜 | 等2 | 升 | 未触.合顶 | 3,411 | 63% | 37% | 61.4% | 47.6% | +0.31% | 78.8% | 回归WJA后升排 🟡中性 |
| 2栅 | 等2 | 升 | 未触.合顶 | 2,998 | 53% | 47% | 61.7% | 46.7% | +0.37% | 78.7% | 回归WJA后升排 🟡中性 |
| 3桮 | 等3 | 升 | 触顶.合顶 | 2,912 | 52% | 48% | 70.6% | 42.4% | +0.06% | 95.2% | 远离WJA升排 🟢强机会 |
| 0橅 | 等1 | 升 | 未触.未合 | 2,891 | 29% | 71% | 59.1% | 47.4% | +0.10% | 79.1% | 回归WJA后升排 🟡中性 |
| 1柜 | 等1 | 升 | 未触.合顶 | 2,848 | 10% | 90% | 59.1% | 46.7% | +0.13% | 73.1% | 回归WJA后升排 🟡中性 |
| 2栅 | 等3 | 跌 | 触顶.合顶 | 2,709 | 72% | 28% | 58.8% | 47.8% | +0.29% | 71.8% | 远离WJA跌排 🟡中性 |
| 1柜 | 等2 | 跌 | 未触.合顶 | 2,551 | 72% | 28% | 54.6% | 46.3% | +0.16% | 45.6% | 回归WJA跌排 🟠风险 |
| 2栅 | 等3 | 跌 | 未触.未合 | 2,455 | 58% | 42% | 56.8% | 52.3% | +0.70% | 63.8% | 远离WJA跌排 🟠风险 |
| 1柜 | 等2 | 升 | 未触.未合 | 2,410 | 43% | 57% | 61.3% | 46.7% | +0.06% | 79.5% | 回归WJA后升排 🟡中性 |
| 2栅 | 等2 | 跌 | 未触.未合 | 2,355 | 57% | 43% | 54.7% | 52.6% | +0.55% | 52.8% | 回归WJA跌排 🟠风险 |
| 2栅 | 等1 | 升 | 触顶.合顶 | 2,313 | 46% | 54% | 69.0% | 45.5% | +0.35% | 94.8% | 回归WJA后升排触顶 🟢强机会 |
| 1柜 | 等3 | 跌 | 未触.合顶 | 2,249 | 72% | 28% | 54.9% | 47.5% | +0.03% | 65.2% | 远离WJA跌排 🟠风险 |
| 3桮 | 等3 | 升 | 未触.未合 | 2,078 | 32% | 68% | 61.2% | 46.2% | +0.12% | 83.5% | 远离WJA升排 🟡中性 |
| 1柜 | 等1 | 升 | 触顶.合顶 | 1,810 | 41% | 59% | 67.1% | 45.5% | +0.24% | 93.5% | 回归WJA后升排触顶 🟢机会 |
| 2栅 | 等1 | 跌 | 未触.合顶 | 1,801 | 2% | 98% | 57.4% | 47.9% | +0.16% | 61.7% | 回归WJA跌排 🟠风险 |
| 3桮 | 等1 | 升 | 未触.合顶 | 1,216 | 10% | 90% | 59.5% | 45.2% | +0.08% | 73.7% | 回归WJA后升排 🟡中性 |
| 3桮 | 等3 | 升 | 未触.合顶 | 1,001 | 37% | 63% | 59.3% | 44.4% | +0.03% | 82.0% | 远离WJA升排 🟡中性 |
| 3桮 | 等1 | 升 | 触顶.合顶 | 846 | 52% | 48% | 71.7% | 46.7% | +0.39% | 95.2% | 回归WJA后升排触顶 🟢强机会 |
| 2栅 | 等2 | 跌 | 触顶.合顶 | 767 | 71% | 29% | 55.9% | 49.2% | +1.06% | 48.9% | 回归WJA跌排 🟠风险 |
| 0橅 | 等1 | 升 | 触顶.合顶 | 725 | 67% | 33% | 69.0% | 46.2% | +0.54% | 91.4% | 回归WJA后升排触顶 🟢强机会 |
| 3桮 | 等2 | 升 | 触顶.合顶 | 689 | 48% | 52% | 69.7% | 45.7% | -0.26% | 94.3% | 回归WJA后升排触顶 🟢强机会 |
| 3桮 | 等2 | 跌 | 未触.未合 | 650 | 55% | 45% | 53.2% | 49.1% | +0.26% | 48.0% | 回归WJA跌排 🟠风险 |
| 3桮 | 等3 | 跌 | 未触.未合 | 585 | 53% | 47% | 54.2% | 51.5% | +0.33% | 60.9% | 远离WJA跌排 🟠风险 |
| 2栅 | 等1 | 跌 | 未触.未合 | 567 | 2% | 98% | 57.0% | 54.0% | +0.23% | 65.1% | 回归WJA跌排 🟠风险 |
| 3桮 | 等1 | 跌 | 未触.合顶 | 565 | 1% | 99% | 55.9% | 47.8% | +0.35% | 57.9% | 回归WJA跌排 🟠风险 |
| 3桮 | 等2 | 升 | 未触.未合 | 469 | 30% | 70% | 64.6% | 39.9% | -0.61% | 83.2% | 回归WJA后升排 🟢机会 |
| 0橅 | 等1 | 升 | 未触.合顶 | 334 | 26% | 74% | 63.2% | 46.1% | +0.04% | 74.6% | 回归WJA后升排 🟢机会 |
| 1柜 | 等1 | 跌 | 未触.合顶 | 315 | 2% | 98% | 52.7% | 43.5% | -0.36% | 55.6% | 回归WJA跌排 🔴高风险 |
| 3桮 | 等3 | 跌 | 触顶.合顶 | 285 | 65% | 35% | 59.3% | 46.3% | -0.15% | 61.1% | 远离WJA跌排 🟡中性 |
| 3桮 | 等2 | 升 | 未触.合顶 | 271 | 36% | 64% | 59.8% | 45.0% | +0.07% | 79.3% | 回归WJA后升排 🟡中性 |
| 1柜 | 等2 | 跌 | 未触.未合 | 251 | 57% | 43% | 55.0% | 47.8% | +0.65% | 48.6% | 回归WJA跌排 🟠风险 |
| 1柜 | 等3 | 跌 | 触顶.合顶 | 187 | 73% | 27% | 57.2% | 42.8% | -0.28% | 57.2% | 远离WJA跌排 🟠风险 |
| 3桮 | 等2 | 跌 | 触顶.合顶 | 142 | 55% | 45% | 52.1% | 45.8% | -0.01% | 44.4% | 回归WJA跌排 🔴高风险 |
| 1柜 | 等3 | 跌 | 未触.未合 | 141 | 55% | 45% | 52.5% | 58.2% | +1.73% | 66.0% | 远离WJA跌排 🔴高风险 |
| 3桮 | 等1 | 跌 | 未触.未合 | 137 | 0% | 100% | 56.9% | 51.8% | +0.25% | 58.4% | 回归WJA跌排 🟠风险 |
| 1柜 | 等2 | 跌 | 触顶.合顶 | 132 | 74% | 26% | 44.7% | 43.2% | -0.56% | 42.4% | 回归WJA跌排 🔴高风险 |
