  已处理 1000 文件
  已处理 2000 文件
  已处理 3000 文件
  已处理 4000 文件
  已处理 5000 文件
  已处理 6000 文件
  已处理 7000 文件

=== DXZC>0 + 顶态L(离顶) 不同DTZA 次日冲高率(≥3%) ===
DTZA    总数          ≥3%       冲高率       
=== 对照: DXZC>0 全部(不分顶态) 不同DTZA 次日冲高率(≥3%) ===
DTZA    总数          ≥3%       冲高率       
-32.0   1           0         0.0       
-31.0   1           0         0.0       
-30.0   1           0         0.0       
-29.0   1           0         0.0       
-28.0   1           0         0.0       
-27.0   1           0         0.0       
-26.0   1           0         0.0       
-25.0   1           0         0.0       
-24.0   1           0         0.0       
-23.0   1           0         0.0       
-22.0   2           0         0.0       
-21.0   4           2         50.0      
-20.0   4           1         25.0      
-19.0   5           1         20.0      
-18.0   11          3         27.3      
-17.0   24          3         12.5      
-16.0   49          14        28.6      
-15.0   88          18        20.5      
-14.0   194         40        20.6      
-13.0   402         87        21.6      
-12.0   922         208       22.6      
-11.0   1955        450       23.0      
-10.0   4149        902       21.7      
-9.0    8603        1930      22.4      
-8.0    17608       3914      22.2      
-7.0    34339       7495      21.8      
-6.0    66229       14913     22.5      
-5.0    120449      29035     24.1      
-4.0    207513      46815     22.6      
-3.0    348771      75213     21.6      
-2.0    583273      126512    21.7      
-1.0    992550      203803    20.5      
1.0     915121      229799    25.1      
2.0     890883      205465    23.1      
3.0     837086      195936    23.4      
4.0     765765      177205    23.1      
5.0     684063      155503    22.7      
6.0     591817      130994    22.1      
7.0     501338      117691    23.5      
8.0     418410      100173    23.9      
9.0     346488      83829     24.2      
10.0    286184      71591     25.0      
11.0    232140      57414     24.7      
12.0    188810      47238     25.0      
13.0    154704      38653     25.0      
14.0    126410      31030     24.5      
15.0    102242      26225     25.6      
16.0    84303       21512     25.5      
17.0    68753       18039     26.2      
18.0    56085       14597     26.0      
19.0    45973       11673     25.4      
20.0    36707       9958      27.1      
21.0    29975       7926      26.4      
22.0    24623       6373      25.9      
23.0    20240       4979      24.6      
24.0    16434       4204      25.6      
25.0    13249       3497      26.4      
26.0    10999       2745      25.0      
27.0    8860        2219      25.0      
28.0    6898        1961      28.4      
29.0    5712        1565      27.4      
30.0    4818        1323      27.5      
31.0    4043        1093      27.0      
32.0    3331        814       24.4      
33.0    2705        672       24.8      
34.0    2294        597       26.0      
35.0    1934        470       24.3      
36.0    1674        494       29.5      
37.0    1516        349       23.0      
38.0    1357        236       17.4      
39.0    1173        216       18.4      
40.0    932         189       20.3      
41.0    743         139       18.7      
42.0    643         112       17.4      
43.0    550         101       18.4      
44.0    498         77        15.5      
45.0    461         61        13.2      
46.0    418         58        13.9      
47.0    395         54        13.7      
48.0    374         44        11.8      
49.0    354         32        9.0       
50.0    332         28        8.4       
51.0    309         24        7.8       
52.0    283         20        7.1       
53.0    252         23        9.1       
54.0    246         22        8.9       
55.0    238         17        7.1       
56.0    224         11        4.9       
57.0    216         13        6.0       
58.0    205         9         4.4       
59.0    201         6         3.0       
60.0    194         7         3.6       
61.0    186         5         2.7       
62.0    179         4         2.2       
63.0    171         3         1.8       
64.0    168         2         1.2       
65.0    162         1         0.6       
66.0    161         2         1.2       
67.0    158         1         0.6       
68.0    154         1         0.6       
69.0    149         0         0.0       
70.0    145         2         1.4       
71.0    138         0         0.0       
72.0    136         0         0.0       
73.0    136         0         0.0       
74.0    130         1         0.8       
75.0    127         0         0.0       
76.0    122         0         0.0       
77.0    120         1         0.8       
78.0    119         1         0.8       
79.0    112         0         0.0       
80.0    108         0         0.0       
81.0    106         0         0.0       
82.0    105         1         1.0       
83.0    103         1         1.0       
84.0    102         0         0.0       
85.0    100         0         0.0       
86.0    97          0         0.0       
87.0    97          0         0.0       
88.0    96          0         0.0       
89.0    94          0         0.0       
90.0    91          0         0.0       
91.0    89          0         0.0       
92.0    89          0         0.0       
93.0    89          3         3.4       
94.0    88          0         0.0       
95.0    87          0         0.0       
96.0    87          1         1.1       
97.0    86          1         1.2       
98.0    86          0         0.0       
99.0    83          0         0.0       
100.0   79          0         0.0       
101.0   79          0         0.0       
102.0   79          0         0.0       
103.0   79          0         0.0       
104.0   76          1         1.3       
105.0   75          1         1.3       
106.0   74          0         0.0       
107.0   74          1         1.4       
108.0   73          0         0.0       
109.0   72          0         0.0       
110.0   71          0         0.0       
111.0   71          0         0.0       
112.0   71          0         0.0       
113.0   71          0         0.0       
114.0   71          0         0.0       
115.0   71          0         0.0       
116.0   70          0         0.0       
117.0   70          0         0.0       
118.0   69          0         0.0       
119.0   69          0         0.0       
120.0   68          1         1.5       
121.0   66          0         0.0       
122.0   66          0         0.0       
123.0   65          1         1.5       
124.0   64          1         1.6       
125.0   64          1         1.6       
126.0   64          1         1.6       
127.0   64          2         3.1       
128.0   63          1         1.6       
129.0   63          1         1.6       
130.0   63          0         0.0       
131.0   63          1         1.6       
132.0   63          1         1.6       
133.0   62          2         3.2       
134.0   61          1         1.6       
135.0   60          1         1.7       
136.0   58          1         1.7       
137.0   54          3         5.6       
138.0   54          1         1.9       
139.0   51          1         2.0       
140.0   48          1         2.1       
141.0   48          3         6.2       
142.0   47          3         6.4       
143.0   47          4         8.5       
144.0   46          3         6.5       
145.0   43          1         2.3       
146.0   43          2         4.7       
147.0   41          2         4.9       
148.0   41          2         4.9       
149.0   41          2         4.9       
150.0   41          2         4.9       
151.0   41          2         4.9       
152.0   41          2         4.9       
153.0   40          0         0.0       
154.0   40          0         0.0       
155.0   39          0         0.0       
156.0   39          0         0.0       
157.0   39          0         0.0       
158.0   38          0         0.0       
159.0   38          0         0.0       
160.0   38          0         0.0       
161.0   36          0         0.0       
162.0   35          0         0.0       
163.0   34          0         0.0       
164.0   33          1         3.0       
165.0   32          0         0.0       
166.0   32          0         0.0       
167.0   32          0         0.0       
168.0   30          0         0.0       
169.0   30          0         0.0       
170.0   29          0         0.0       
171.0   29          0         0.0       
172.0   29          0         0.0       
173.0   28          0         0.0       
174.0   28          0         0.0       
175.0   28          0         0.0       
176.0   26          0         0.0       
177.0   25          1         4.0       
178.0   24          0         0.0       
179.0   24          0         0.0       
180.0   24          0         0.0       
181.0   24          0         0.0       
182.0   24          0         0.0       
183.0   24          0         0.0       
184.0   24          0         0.0       
185.0   24          0         0.0       
186.0   24          0         0.0       
187.0   22          0         0.0       
188.0   22          0         0.0       
189.0   22          0         0.0       
190.0   22          0         0.0       
191.0   22          0         0.0       
192.0   21          0         0.0       
193.0   21          0         0.0       
194.0   21          0         0.0       
195.0   21          0         0.0       
196.0   21          0         0.0       
197.0   21          0         0.0       
198.0   21          0         0.0       
199.0   21          0         0.0       
200.0   20          0         0.0       
201.0   18          0         0.0       
202.0   18          1         5.6       
203.0   18          0         0.0       
204.0   18          0         0.0       
205.0   18          0         0.0       
206.0   18          0         0.0       
207.0   18          0         0.0       
208.0   18          0         0.0       
209.0   18          0         0.0       
210.0   18          0         0.0       
211.0   18          0         0.0       
212.0   16          0         0.0       
213.0   16          1         6.2       
214.0   16          0         0.0       
215.0   16          0         0.0       
216.0   16          0         0.0       
217.0   16          0         0.0       
218.0   16          0         0.0       
219.0   15          1         6.7       
220.0   15          0         0.0       
221.0   15          0         0.0       
222.0   14          0         0.0       
223.0   14          0         0.0       
224.0   14          1         7.1       
225.0   13          1         7.7       
226.0   13          1         7.7       
227.0   12          1         8.3       
228.0   12          1         8.3       
229.0   12          1         8.3       
230.0   12          1         8.3       
231.0   10          1         10.0      
232.0   10          1         10.0      
233.0   10          1         10.0      
234.0   10          1         10.0      
235.0   10          1         10.0      
236.0   10          1         10.0      
237.0   10          1         10.0      
238.0   10          1         10.0      
239.0   10          0         0.0       
240.0   10          1         10.0      
241.0   10          0         0.0       
242.0   10          1         10.0      
243.0   9           0         0.0       
244.0   9           0         0.0       
245.0   9           0         0.0       
246.0   8           0         0.0       
247.0   8           0         0.0       
248.0   8           0         0.0       
249.0   8           0         0.0       
250.0   8           0         0.0       
251.0   8           0         0.0       
252.0   8           0         0.0       
253.0   8           0         0.0       
254.0   8           0         0.0       
255.0   7           0         0.0       
256.0   7           0         0.0       
257.0   7           0         0.0       
258.0   7           0         0.0       
259.0   7           0         0.0       
260.0   7           0         0.0       
261.0   7           0         0.0       
262.0   7           0         0.0       
263.0   7           0         0.0       
264.0   6           0         0.0       
265.0   6           0         0.0       
266.0   6           0         0.0       
267.0   6           0         0.0       
268.0   6           0         0.0       
269.0   6           0         0.0       
270.0   6           0         0.0       
271.0   6           0         0.0       
272.0   6           0         0.0       
273.0   6           0         0.0       
274.0   6           0         0.0       
275.0   6           0         0.0       
276.0   6           0         0.0       
277.0   6           0         0.0       
278.0   6           0         0.0       
279.0   6           0         0.0       
280.0   6           0         0.0       
281.0   6           0         0.0       
282.0   6           0         0.0       
283.0   6           0         0.0       
284.0   6           0         0.0       
285.0   6           0         0.0       
286.0   6           0         0.0       
287.0   6           0         0.0       
288.0   6           0         0.0       
289.0   6           0         0.0       
290.0   6           0         0.0       
291.0   6           0         0.0       
292.0   6           0         0.0       
293.0   6           0         0.0       
294.0   6           0         0.0       
295.0   6           0         0.0       
296.0   6           0         0.0       
297.0   6           0         0.0       
298.0   6           0         0.0       
299.0   6           0         0.0       
300.0   6           0         0.0       
301.0   6           0         0.0       
302.0   6           0         0.0       
303.0   6           0         0.0       
304.0   6           0         0.0       
305.0   5           0         0.0       
306.0   5           0         0.0       
307.0   5           0         0.0       
308.0   5           0         0.0       
309.0   5           0         0.0       
310.0   5           0         0.0       
311.0   5           0         0.0       
312.0   5           0         0.0       
313.0   5           0         0.0       
314.0   5           0         0.0       
315.0   5           0         0.0       
316.0   5           0         0.0       
317.0   5           0         0.0       
318.0   5           0         0.0       
319.0   5           0         0.0       
320.0   5           0         0.0       
321.0   5           0         0.0       
322.0   5           0         0.0       
323.0   5           0         0.0       
324.0   5           0         0.0       
325.0   5           0         0.0       
326.0   5           0         0.0       
327.0   5           0         0.0       
328.0   5           0         0.0       
329.0   5           0         0.0       
330.0   5           0         0.0       
331.0   5           0         0.0       
332.0   5           0         0.0       
333.0   5           0         0.0       
334.0   5           0         0.0       
335.0   5           0         0.0       
336.0   5           0         0.0       
337.0   5           0         0.0       
338.0   5           0         0.0       
339.0   5           0         0.0       
340.0   5           0         0.0       
341.0   5           0         0.0       
342.0   5           0         0.0       
343.0   5           0         0.0       
344.0   5           0         0.0       
345.0   5           0         0.0       
346.0   5           0         0.0       
347.0   5           0         0.0       
348.0   5           0         0.0       
349.0   5           0         0.0       
350.0   5           0         0.0       
351.0   5           0         0.0       
352.0   4           0         0.0       
353.0   4           0         0.0       
354.0   4           0         0.0       
355.0   4           0         0.0       
356.0   4           0         0.0       
357.0   4           0         0.0       
358.0   4           0         0.0       
359.0   4           0         0.0       
360.0   4           0         0.0       
361.0   4           0         0.0       
362.0   4           0         0.0       
363.0   4           0         0.0       
364.0   4           0         0.0       
365.0   4           0         0.0       
366.0   4           0         0.0       
367.0   4           0         0.0       
368.0   4           0         0.0       
369.0   4           0         0.0       
370.0   4           0         0.0       
371.0   4           0         0.0       
372.0   4           0         0.0       
373.0   3           0         0.0       
374.0   3           0         0.0       
375.0   3           0         0.0       
376.0   3           0         0.0       
377.0   3           0         0.0       
378.0   3           0         0.0       
379.0   3           0         0.0       
380.0   3           0         0.0       
381.0   3           0         0.0       
382.0   3           0         0.0       
383.0   3           0         0.0       
384.0   3           0         0.0       
385.0   3           0         0.0       
386.0   3           0         0.0       
387.0   3           0         0.0       
388.0   3           0         0.0       
389.0   3           0         0.0       
390.0   3           0         0.0       
391.0   3           0         0.0       
392.0   3           0         0.0       
393.0   3           0         0.0       
394.0   3           0         0.0       
395.0   3           0         0.0       
396.0   3           0         0.0       
397.0   3           0         0.0       
398.0   3           0         0.0       
399.0   3           0         0.0       
400.0   3           0         0.0       
401.0   3           0         0.0       
402.0   3           0         0.0       
403.0   3           0         0.0       
404.0   3           0         0.0       
405.0   3           0         0.0       
406.0   3           0         0.0       
407.0   3           0         0.0       
408.0   3           0         0.0       
409.0   3           0         0.0       
410.0   3           0         0.0       
411.0   3           0         0.0       
412.0   3           0         0.0       
413.0   3           0         0.0       
414.0   3           0         0.0       
415.0   3           0         0.0       
416.0   3           0         0.0       
417.0   3           0         0.0       
418.0   3           0         0.0       
419.0   3           0         0.0       
420.0   3           0         0.0       
421.0   3           0         0.0       
422.0   3           0         0.0       
423.0   3           0         0.0       
424.0   3           0         0.0       
425.0   3           0         0.0       
426.0   3           0         0.0       
427.0   3           0         0.0       
428.0   3           0         0.0       
429.0   3           0         0.0       
430.0   3           0         0.0       
431.0   3           0         0.0       
432.0   3           0         0.0       
433.0   3           0         0.0       
434.0   3           0         0.0       
435.0   3           0         0.0       
436.0   3           0         0.0       
437.0   3           0         0.0       
438.0   3           0         0.0       
439.0   3           0         0.0       
440.0   3           0         0.0       
441.0   3           0         0.0       
442.0   3           0         0.0       
443.0   3           0         0.0       
444.0   3           0         0.0       
445.0   3           0         0.0       
446.0   3           0         0.0       
447.0   3           0         0.0       
448.0   3           0         0.0       
449.0   3           0         0.0       
450.0   3           0         0.0       
451.0   3           0         0.0       
452.0   3           0         0.0       
453.0   3           0         0.0       
454.0   3           0         0.0       
455.0   3           0         0.0       
456.0   3           0         0.0       
457.0   3           0         0.0       
458.0   3           0         0.0       
459.0   3           0         0.0       
460.0   3           0         0.0       
461.0   3           0         0.0       
462.0   3           0         0.0       
463.0   3           0         0.0       
464.0   3           0         0.0       
465.0   3           0         0.0       
466.0   3           0         0.0       
467.0   3           0         0.0       
468.0   3           0         0.0       
469.0   3           0         0.0       
470.0   3           0         0.0       
471.0   3           0         0.0       
472.0   3           0         0.0       
473.0   3           0         0.0       
474.0   3           0         0.0       
475.0   3           0         0.0       
476.0   3           0         0.0       
477.0   3           0         0.0       
478.0   3           0         0.0       
479.0   3           0         0.0       
480.0   3           0         0.0       
481.0   3           0         0.0       
482.0   3           0         0.0       
483.0   3           0         0.0       
484.0   3           0         0.0       
485.0   3           0         0.0       
486.0   3           0         0.0       
487.0   3           0         0.0       
488.0   3           0         0.0       
489.0   3           0         0.0       
490.0   3           0         0.0       
491.0   3           0         0.0       
492.0   3           0         0.0       
493.0   3           0         0.0       
494.0   3           0         0.0       
495.0   3           0         0.0       
496.0   3           0         0.0       
497.0   3           0         0.0       
498.0   3           0         0.0       
499.0   3           0         0.0       
500.0   3           0         0.0       
501.0   3           0         0.0       
502.0   3           0         0.0       
503.0   3           0         0.0       
504.0   3           0         0.0       
505.0   3           0         0.0       
506.0   3           0         0.0       
507.0   3           0         0.0       
508.0   3           0         0.0       
509.0   3           0         0.0       
510.0   3           0         0.0       
511.0   3           0         0.0       
512.0   3           0         0.0       
513.0   3           0         0.0       
514.0   3           0         0.0       
515.0   3           0         0.0       
516.0   3           0         0.0       
517.0   3           0         0.0       
518.0   3           0         0.0       
519.0   3           0         0.0       
520.0   3           0         0.0       
521.0   3           0         0.0       
522.0   3           0         0.0       
523.0   3           0         0.0       
524.0   3           0         0.0       
525.0   3           0         0.0       
526.0   3           0         0.0       
527.0   3           0         0.0       
528.0   3           0         0.0       
529.0   3           0         0.0       
530.0   3           0         0.0       
531.0   3           0         0.0       
532.0   3           0         0.0       
533.0   3           0         0.0       
534.0   3           0         0.0       
535.0   3           0         0.0       
536.0   3           0         0.0       
537.0   3           0         0.0       
538.0   3           0         0.0       
539.0   3           0         0.0       
540.0   3           0         0.0       
541.0   3           0         0.0       
542.0   3           0         0.0       
543.0   3           0         0.0       
544.0   3           0         0.0       
545.0   3           0         0.0       
546.0   3           0         0.0       
547.0   3           0         0.0       
548.0   3           0         0.0       
549.0   3           0         0.0       
550.0   3           0         0.0       
551.0   3           0         0.0       
552.0   3           0         0.0       
553.0   3           0         0.0       
554.0   3           0         0.0       
555.0   3           0         0.0       
556.0   3           0         0.0       
557.0   3           0         0.0       
558.0   3           0         0.0       
559.0   3           0         0.0       
560.0   3           0         0.0       
561.0   3           0         0.0       
562.0   3           0         0.0       
563.0   3           0         0.0       
564.0   3           0         0.0       
565.0   3           0         0.0       
566.0   3           0         0.0       
567.0   3           0         0.0       
568.0   3           0         0.0       
569.0   3           0         0.0       
570.0   3           0         0.0       
571.0   3           0         0.0       
572.0   3           0         0.0       
573.0   3           0         0.0       
574.0   3           0         0.0       
575.0   3           0         0.0       
576.0   3           0         0.0       
577.0   3           0         0.0       
578.0   3           0         0.0       
579.0   3           0         0.0       
580.0   3           0         0.0       
581.0   2           0         0.0       
582.0   2           0         0.0       
583.0   2           0         0.0       
584.0   2           0         0.0       
585.0   2           0         0.0       
586.0   2           0         0.0       
587.0   2           0         0.0       
588.0   2           0         0.0       
589.0   2           0         0.0       
590.0   2           0         0.0       
591.0   2           0         0.0       
592.0   2           0         0.0       
593.0   2           0         0.0       
594.0   2           0         0.0       
595.0   2           0         0.0       
596.0   2           0         0.0       
597.0   2           0         0.0       
598.0   2           0         0.0       
599.0   2           0         0.0       
600.0   2           0         0.0       
601.0   2           0         0.0       
602.0   2           0         0.0       
603.0   2           0         0.0       
604.0   2           0         0.0       
605.0   2           0         0.0       
606.0   2           0         0.0       
607.0   2           0         0.0       
608.0   2           0         0.0       
609.0   2           0         0.0       
610.0   2           0         0.0       
611.0   2           0         0.0       
612.0   2           0         0.0       
613.0   2           0         0.0       
614.0   2           0         0.0       
615.0   2           0         0.0       
616.0   2           0         0.0       
617.0   2           0         0.0       
618.0   2           0         0.0       
619.0   2           0         0.0       
620.0   2           0         0.0       
621.0   2           0         0.0       
622.0   2           0         0.0       
623.0   2           0         0.0       
624.0   2           0         0.0       
625.0   2           0         0.0       
626.0   2           0         0.0       
627.0   2           0         0.0       
628.0   2           0         0.0       
629.0   2           0         0.0       
630.0   2           0         0.0       
631.0   2           0         0.0       
632.0   2           0         0.0       
633.0   2           0         0.0       
634.0   2           0         0.0       
635.0   2           0         0.0       
636.0   2           0         0.0       
637.0   2           0         0.0       
638.0   2           0         0.0       
639.0   2           0         0.0       
640.0   2           0         0.0       
641.0   2           0         0.0       
642.0   2           0         0.0       
643.0   2           0         0.0       
644.0   2           0         0.0       
645.0   2           0         0.0       
646.0   2           0         0.0       
647.0   2           0         0.0       
648.0   2           0         0.0       
649.0   2           0         0.0       
650.0   2           0         0.0       
651.0   2           0         0.0       
652.0   2           0         0.0       
653.0   2           0         0.0       
654.0   2           0         0.0       
655.0   2           0         0.0       
656.0   2           0         0.0       
657.0   2           0         0.0       
658.0   2           0         0.0       
659.0   2           0         0.0       
660.0   2           0         0.0       
661.0   2           0         0.0       
662.0   2           0         0.0       
663.0   2           0         0.0       
664.0   2           0         0.0       
665.0   2           0         0.0       
666.0   2           0         0.0       
667.0   2           0         0.0       
668.0   2           0         0.0       
669.0   2           0         0.0       
670.0   2           0         0.0       
671.0   2           0         0.0       
672.0   2           0         0.0       
673.0   2           0         0.0       
674.0   2           0         0.0       
675.0   2           0         0.0       
676.0   2           0         0.0       
677.0   2           0         0.0       
678.0   2           0         0.0       
679.0   2           0         0.0       
680.0   2           0         0.0       
681.0   2           0         0.0       
682.0   2           0         0.0       
683.0   2           0         0.0       
684.0   2           0         0.0       
685.0   2           0         0.0       
686.0   2           0         0.0       
687.0   2           0         0.0       
688.0   2           0         0.0       
689.0   2           0         0.0       
690.0   2           0         0.0       
691.0   2           0         0.0       
692.0   2           0         0.0       
693.0   2           0         0.0       
694.0   2           0         0.0       
695.0   2           0         0.0       
696.0   2           0         0.0       
697.0   2           0         0.0       
698.0   1           0         0.0       
699.0   1           0         0.0       
700.0   1           0         0.0       
701.0   1           0         0.0       
