名称	编码
等3_2栅_人排_{金_甲乙己}	5C78
等5_5跌破_人排_{屎_甲乙己}	3C78
等3_4上WJA_人排_{金_甲乙己}	5C78
等3_4上WJA_跌排_{屎_甲乙己}	4C78
等7_7姗_升排_{屎_丙丁戊}	4C78
等1_4上WJA_人排_{银_甲乙己}	5C78
等7_5跌破_升排_{金_甲乙己}	4C78
等5_5跌破_升排_{金_甲乙己}	4C78
等7_7姗_升排_{金_甲乙己}	4C78
等3_0橅_升排_{屎_甲乙己}	4C77
等1_4上WJA_跌排_{屎_丙丁戊}	4C77
等7_5跌破_人排_{金_甲乙己}	4C77
等6_5跌破_跌排_{金_甲乙己}	4C77
等2_2栅_跌排_{屎_甲乙己}	4C77
等2_4上WJA_升排_{尿_丙丁戊}	4C77
等2_4上WJA_人排_{金_甲乙己}	4C77
等7_7姗_跌排_{尿_丙丁戊}	5C77
等7_5跌破_跌排_{嘘_丙丁戊}	4C77
等7_5跌破_跌排_{金_丙丁戊}	4C77
等3_1柜_跌排_{银_甲乙己}	4C77
等3_2栅_升排_{屎_甲乙己}	4C77
等3_4上WJA_人排_{屎_甲乙己}	4C77
等6_7姗_升排_{金_甲乙己}	4C77
等3_3桮_跌排_{唏_甲乙己}	4C77
等2_4上WJA_升排_{屎_丙丁戊}	4C77
等6_5跌破_升排_{金_甲乙己}	4C77
等6_7姗_升排_{屎_丙丁戊}	4C77
等2_4上WJA_升排_{屎_甲乙己}	4C77
等5_5跌破_跌排_{金_丙丁戊}	4C77
等7_5跌破_跌排_{金_甲乙己}	4C76
等2_2栅_跌排_{屎_丙丁戊}	4C76
等3_4上WJA_跌排_{屎_丙丁戊}	4C76
等7_6娝_跌排_{尿_丙丁戊}	4C76
等3_4上WJA_人排_{屎_丙丁戊}	4C76
等5_5跌破_人排_{银_甲乙己}	3C76
等6_6娝_跌排_{屎_丙丁戊}	4C76
等7_5跌破_跌排_{尿_丙丁戊}	4C76
等6_5跌破_跌排_{金_丙丁戊}	4C76
等2_3桮_跌排_{屎_甲乙己}	4C76
等7_7姗_跌排_{金_丙丁戊}	4C76
等5_5跌破_人排_{唏_甲乙己}	4C76
等5_5跌破_升排_{金_丙丁戊}	4C76
等2_3桮_升排_{金_甲乙己}	4C76
等6_7姗_升排_{金_丙丁戊}	4C76
等7_5跌破_升排_{金_丙丁戊}	4C75
等3_1柜_升排_{屎_甲乙己}	4C75
等6_5跌破_升排_{金_丙丁戊}	4C75
等5_5跌破_人排_{金_甲乙己}	4C75
等6_7姗_跌排_{嘘_丙丁戊}	4C75
等3_1柜_升排_{屎_丙丁戊}	4C75
等3_2栅_跌排_{屎_甲乙己}	4C75
等6_5跌破_跌排_{嘘_丙丁戊}	4C75
等2_1柜_升排_{屎_丙丁戊}	3C75
等6_6娝_人排_{屎_丙丁戊}	3C75
等7_6娝_升排_{金_丙丁戊}	4C75
等6_7姗_升排_{嘘_丙丁戊}	4C75
等7_5跌破_跌排_{屎_甲乙己}	3C75
等7_5跌破_人排_{金_丙丁戊}	4C75
等5_5跌破_跌排_{屎_甲乙己}	3C75
等3_2栅_跌排_{屎_丙丁戊}	4C74
等2_4上WJA_跌排_{屎_丙丁戊}	4C74
等7_7姗_人排_{屎_丙丁戊}	3C74
等6_5跌破_人排_{金_甲乙己}	4C74
等6_7姗_人排_{屎_丙丁戊}	4C74
等2_4上WJA_人排_{屎_丙丁戊}	4C74
等5_5跌破_跌排_{唏_甲乙己}	3C74
等3_1柜_人排_{屎_甲乙己}	4C73
等6_5跌破_跌排_{银_甲乙己}	3C73
等6_5跌破_跌排_{唏_甲乙己}	3C73
等5_5跌破_跌排_{嘘_丙丁戊}	3C73
等7_6娝_升排_{屎_丙丁戊}	4C73
等6_7姗_跌排_{尿_丙丁戊}	4C73
等6_7姗_跌排_{屎_丙丁戊}	3C73
等6_5跌破_跌排_{屎_丙丁戊}	3C73
等7_5跌破_升排_{嘘_丙丁戊}	3C73
等5_5跌破_升排_{唏_甲乙己}	3C73
等5_5跌破_跌排_{银_甲乙己}	3C73
等5_5跌破_跌排_{屎_丙丁戊}	3C73
等7_5跌破_跌排_{屎_丙丁戊}	3C73
等2_0橅_升排_{屎_丙丁戊}	3C73
等5_5跌破_升排_{屎_丙丁戊}	3C73
等5_5跌破_升排_{屎_甲乙己}	3C72
等6_5跌破_升排_{屎_丙丁戊}	3C72
等7_7姗_跌排_{屎_丙丁戊}	3C72
等7_5跌破_人排_{嘘_丙丁戊}	3C72
等5_5跌破_人排_{金_丙丁戊}	3C72
等5_5跌破_跌排_{尿_丙丁戊}	3C72
等5_5跌破_人排_{屎_丙丁戊}	3C72
等5_5跌破_跌排_{银_丙丁戊}	3C72
等3_0橅_升排_{屎_丙丁戊}	3C72
等7_5跌破_人排_{尿_丙丁戊}	3C71
等6_5跌破_人排_{屎_丙丁戊}	3C71
等5_5跌破_升排_{唏_丙丁戊}	3C71
等6_5跌破_跌排_{尿_丙丁戊}	3C71
等7_6娝_升排_{尿_丙丁戊}	4C71
等7_5跌破_人排_{屎_丙丁戊}	3C71
等5_5跌破_跌排_{唏_丙丁戊}	3C71
等7_6娝_跌排_{屎_丙丁戊}	4C71
等5_5跌破_升排_{尿_丙丁戊}	3C71
等7_5跌破_跌排_{唏_甲乙己}	3C71
等6_5跌破_跌排_{唏_丙丁戊}	3C70
等5_5跌破_升排_{银_甲乙己}	3C70
等7_5跌破_升排_{尿_丙丁戊}	3C70
等5_5跌破_人排_{尿_丙丁戊}	3C70
等7_5跌破_跌排_{银_丙丁戊}	3C70
等7_5跌破_升排_{屎_丙丁戊}	3D69
等5_5跌破_升排_{嘘_丙丁戊}	3D69
等7_5跌破_跌排_{银_甲乙己}	3D69
等5_5跌破_人排_{嘘_丙丁戊}	4D69
等7_5跌破_跌排_{唏_丙丁戊}	3D67
等7_5跌破_升排_{唏_甲乙己}	3D67
